Timestamp,Value,Volume,Volatility,regime_feature_1,regime_feature_2,regime_feature_3,regime_feature_4,regime_feature_5,regime_feature_6,regime_feature_7,regime_feature_8,regime_feature_9,regime_feature_10,regime_feature_11,regime_feature_12,regime_feature_13,regime_feature_14,regime_feature_15,regime_feature_16
2025-01-30 09:30:05.561,694.0,1.0,0.010350805610789323,-0.0024534934,-0.028491821,-0.021094728,0.0062832073,-0.011257758,0.12021903,0.04893151,-0.03460671,-0.011465566,0.10263653,0.03218423,-0.035140824,0.037099052,0.021782264,0.03524745,-0.062329736
2025-01-30 09:30:05.561,694.0,65.0,0.011845214411344673,-0.00370359,-0.029640388,-0.019768788,0.006040796,-0.012040906,0.11939497,0.048731014,-0.03422682,-0.010904662,0.099272825,0.03095358,-0.033940867,0.036003023,0.020049868,0.034481045,-0.061773986
2025-01-30 09:30:05.561,694.0,5.0,0.01643445299310277,-0.004062291,-0.029988976,-0.018367594,0.0057474123,-0.011994582,0.11934052,0.05066141,-0.034902316,-0.011690912,0.09712852,0.028744541,-0.032356203,0.034445733,0.020084826,0.034834627,-0.060529403
2025-01-30 09:30:08.118,693.66,5.0,0.009859494578346506,-0.0030270207,-0.030282559,-0.01651963,0.0058604125,-0.012080758,0.12014429,0.05390995,-0.035627574,-0.01336494,0.0954842,0.02548187,-0.030557528,0.0326879,0.020615764,0.036125343,-0.05964105
2025-01-30 09:30:08.118,693.75,15.0,0.018340356042333857,0.0018788743,-0.028873893,-0.012553196,0.0073731034,-0.012170127,0.12153202,0.05819367,-0.034982935,-0.015014129,0.096503146,0.021930993,-0.029591288,0.03221173,0.021523308,0.039490756,-0.062760755
2025-01-30 09:30:08.118,693.69,15.0,0.018888813301780143,0.00012863339,-0.029594965,-0.013843379,0.0070537166,-0.013294683,0.12181916,0.057352945,-0.036501627,-0.017210936,0.093169495,0.021452677,-0.02951754,0.030804815,0.02036941,0.038020447,-0.059808664
2025-01-30 09:30:08.118,693.74,5.0,0.014034334610867961,-1.6739965e-05,-0.029249402,-0.0134164505,0.007002266,-0.013648088,0.12102661,0.057698946,-0.037049163,-0.017558496,0.091838986,0.021317089,-0.029249575,0.030550273,0.019503586,0.03763383,-0.05992795
2025-01-30 09:30:08.118,693.74,15.0,0.01613530612417591,-0.00061809004,-0.029192073,-0.01400676,0.0064673806,-0.014236331,0.12012074,0.05738875,-0.03744092,-0.018238645,0.09020153,0.020595755,-0.029381948,0.03006022,0.01840236,0.036693215,-0.059078574
2025-01-30 09:30:08.118,693.75,15.0,0.020459579306283025,-0.0010359108,-0.028856782,-0.012139659,0.0063259588,-0.014649084,0.11763543,0.057122678,-0.03710363,-0.016688421,0.08736928,0.020741707,-0.028554762,0.0301822,0.016372262,0.03579273,-0.06063355
2025-01-30 09:30:08.118,693.76,15.0,0.013131074390149945,-0.004210979,-0.02958897,-0.013105363,0.005577586,-0.016264629,0.11577715,0.054447964,-0.037765753,-0.017285068,0.0815332,0.020912938,-0.02794987,0.028910413,0.013637746,0.033007868,-0.058351777
2025-01-30 09:30:08.118,693.73,15.0,0.0157889857835051,-0.006476636,-0.029076613,-0.014595965,0.004238978,-0.016619151,0.1128856,0.052086458,-0.037675854,-0.01607195,0.07922589,0.021758474,-0.028438082,0.029242644,0.011814714,0.030802343,-0.058042847
2025-01-30 09:30:08.555,693.66,65.0,0.018006104589960534,-0.010458043,-0.02949883,-0.018734653,0.0024130908,-0.017427783,0.11079039,0.04670079,-0.03774515,-0.015428627,0.07697117,0.024020987,-0.030512998,0.02958846,0.009263933,0.027205529,-0.05552474
2025-01-30 09:30:08.555,693.66,15.0,0.00846906568571906,-0.011461765,-0.029866798,-0.018520528,0.0027101296,-0.017817622,0.110583276,0.04458227,-0.037485186,-0.014438314,0.075836815,0.026138034,-0.030637091,0.030010292,0.008089311,0.026480043,-0.05598504
2025-01-30 09:30:08.555,693.66,20.0,0.01591936790570323,-0.012027518,-0.029456787,-0.018806376,0.0022877348,-0.017524729,0.1106827,0.0445327,-0.03803132,-0.014559951,0.07587845,0.026460709,-0.030455215,0.029664127,0.008274693,0.026364462,-0.055298787
2025-01-30 09:30:13.033,693.76,10.0,0.016727163003521426,-0.012475004,-0.028656702,-0.018742403,0.0014649504,-0.016669204,0.11043512,0.04525513,-0.03886439,-0.01446829,0.07598379,0.026401402,-0.029770093,0.029116333,0.008857088,0.026567785,-0.05449671
