Timestamp,Value,Volume,Volatility,regime_feature_11,regime_feature_10,regime_feature_7,regime_feature_13,regime_feature_6,regime,sub_regime
2025-01-30 09:30:05.561,694.0,1.0,0.0103508056107893,0.03218423,0.10263653,0.04893151,0.037099052,0.12021903,11,6
2025-01-30 09:30:05.561,694.0,65.0,0.0118452144113446,0.03095358,0.099272825,0.048731014,0.036003023,0.11939497,11,6
2025-01-30 09:30:05.561,694.0,5.0,0.0164344529931027,0.028744541,0.09712852,0.05066141,0.034445733,0.11934052,11,6
2025-01-30 09:30:08.118,693.66,5.0,0.0098594945783465,0.02548187,0.0954842,0.05390995,0.0326879,0.12014429,11,6
2025-01-30 09:30:08.118,693.75,15.0,0.0183403560423338,0.021930993,0.096503146,0.05819367,0.03221173,0.12153202,11,6
2025-01-30 09:30:08.118,693.69,15.0,0.0188888133017801,0.021452677,0.093169495,0.057352945,0.030804815,0.12181916,11,6
2025-01-30 09:30:08.118,693.74,5.0,0.0140343346108679,0.021317089,0.091838986,0.057698946,0.030550273,0.12102661,11,6
2025-01-30 09:30:08.118,693.74,15.0,0.0161353061241759,0.020595755,0.09020153,0.05738875,0.03006022,0.12012074,11,6
2025-01-30 09:30:08.118,693.75,15.0,0.020459579306283,0.020741707,0.08736928,0.057122678,0.0301822,0.11763543,11,3
2025-01-30 09:30:08.118,693.76,15.0,0.0131310743901499,0.020912938,0.0815332,0.054447964,0.028910413,0.11577715,11,3
2025-01-30 09:30:08.118,693.73,15.0,0.0157889857835051,0.021758474,0.07922589,0.052086458,0.029242644,0.1128856,11,3
2025-01-30 09:30:08.555,693.66,65.0,0.0180061045899605,0.024020987,0.07697117,0.04670079,0.02958846,0.11079039,11,3
2025-01-30 09:30:08.555,693.66,15.0,0.008469065685719,0.026138034,0.075836815,0.04458227,0.030010292,0.110583276,11,3
2025-01-30 09:30:08.555,693.66,20.0,0.0159193679057032,0.026460709,0.07587845,0.0445327,0.029664127,0.1106827,11,3
2025-01-30 09:30:13.033,693.76,10.0,0.0167271630035214,0.026401402,0.07598379,0.04525513,0.029116333,0.11043512,11,3
2025-01-30 09:30:13.496,693.79,1.0,0.01020633107529,0.025827227,0.076550916,0.0458803,0.02832448,0.11027405,11,3
2025-01-30 09:30:18.202,693.79,2.0,0.0095906582340979,0.02701728,0.07585511,0.045796383,0.028257908,0.10950613,11,3
2025-01-30 09:30:19.227,693.8,3.0,0.0146575233612096,0.026075639,0.077052325,0.046555676,0.027325701,0.11052647,11,3
2025-01-30 09:30:22.622,693.69,15.0,0.0165156071143251,0.027113747,0.077316426,0.04621397,0.027676668,0.11027802,11,3
2025-01-30 09:30:22.622,693.68,15.0,0.0162210038039927,0.028569791,0.077425554,0.046343338,0.028249586,0.109859526,11,3
2025-01-30 09:30:22.622,693.64,15.0,0.0160847679608584,0.02840354,0.079208404,0.047063913,0.028164083,0.110796444,11,3
2025-01-30 09:30:22.622,693.62,15.0,0.0103743199921516,0.030120993,0.07973933,0.046436843,0.029392019,0.11039498,11,3
2025-01-30 09:30:22.622,693.59,15.0,0.0128519255354187,0.03172021,0.079688005,0.046067692,0.030381512,0.10994087,11,3
2025-01-30 09:30:22.622,693.58,1.0,0.0143939766311776,0.031007972,0.080930926,0.046401963,0.03010846,0.11063427,11,3
2025-01-30 09:30:22.622,693.5,1.0,0.026955582229147,0.03149796,0.080532864,0.04567277,0.030412273,0.1100972,11,3
2025-01-30 09:30:22.622,693.53,72.0,0.0191603677858013,0.03238254,0.08068075,0.045393106,0.030812442,0.109620154,11,3
2025-01-30 09:30:22.622,693.5,100.0,0.0155693770185887,0.03152523,0.08236918,0.046891645,0.031615026,0.108360186,11,3
2025-01-30 09:30:22.622,693.5,100.0,0.0248662455202626,0.033622473,0.07997169,0.042514984,0.031499475,0.10946534,11,3
2025-01-30 09:30:22.622,693.5,100.0,0.0140664300294698,0.033299986,0.08084287,0.04310758,0.03190516,0.10917649,11,3
2025-01-30 09:30:22.622,693.5,50.0,0.0213014171738777,0.032852177,0.080960825,0.043436106,0.031647135,0.10943007,11,3
2025-01-30 09:30:22.622,693.49,6.0,0.022050300846744,0.032424863,0.08148336,0.044201393,0.031390876,0.10944228,11,3
2025-01-30 09:30:22.622,693.54,15.0,0.0267275250106279,0.031766687,0.08247233,0.045690097,0.03146706,0.10901281,11,3
2025-01-30 09:30:22.622,693.5,50.0,0.013652937352699,0.043806452,0.10406643,0.042983513,0.039492834,0.11665116,11,3
2025-01-30 09:30:22.622,693.56,15.0,0.0234917250822052,0.043977622,0.10355581,0.041466888,0.03994458,0.11640066,11,3
2025-01-30 09:30:22.622,693.69,15.0,0.0251029582990997,0.04225615,0.105764255,0.043548584,0.039374527,0.11951234,11,3
2025-01-30 09:30:22.622,693.67,15.0,0.0164604128835991,0.037837565,0.10963753,0.048307385,0.03764494,0.12537071,11,3
2025-01-30 09:30:22.622,693.65,15.0,0.0180795198807963,0.035378963,0.113189414,0.052254256,0.038548935,0.12633738,11,3
2025-01-30 09:30:22.622,693.62,15.0,0.029471710337828,0.03524333,0.11231493,0.052359745,0.038622152,0.1258816,11,3
2025-01-30 09:30:22.622,693.6,15.0,0.0306061541231096,0.03510029,0.111829646,0.052522797,0.038750637,0.12578446,11,3
2025-01-30 09:30:22.622,693.5,40.0,0.0250772533400434,0.03502079,0.11145286,0.052566767,0.0389594,0.12571639,11,3
2025-01-30 09:30:22.622,693.55,15.0,0.0144732587054146,0.034969892,0.11141624,0.052535437,0.039110664,0.1257883,11,3
2025-01-30 09:30:22.622,693.79,2.0,0.0222759078588584,0.03473796,0.11105108,0.05246617,0.039065234,0.12556162,11,3
2025-01-30 09:30:22.622,693.64,15.0,0.0134475760583065,0.034274668,0.1101171,0.05246474,0.0387951,0.124910526,11,3
2025-01-30 09:30:22.622,693.61,15.0,0.019693466175098,0.033603642,0.10830078,0.052508324,0.038217798,0.12384793,11,2
2025-01-30 09:30:22.622,693.6,15.0,0.0243637903855783,0.032793697,0.10549433,0.052882716,0.03727942,0.122337066,11,2
2025-01-30 09:30:22.622,693.6,15.0,0.0186182326655658,0.03085901,0.10440835,0.053474918,0.035967723,0.122873366,11,2
2025-01-30 09:30:22.622,693.5,12.0,0.0165885807001906,0.029964633,0.101795785,0.053379346,0.035169087,0.122055165,11,2
2025-01-30 09:30:22.623,693.5,50.0,0.0199949046651603,0.02898133,0.100098304,0.05393631,0.034547225,0.12194422,11,2
2025-01-30 09:30:22.623,693.5,50.0,0.0191376327201643,0.02859441,0.09852562,0.05463936,0.03416589,0.12143139,11,2
2025-01-30 09:30:22.905,693.5,31.0,0.0151772103350808,0.02813324,0.09724974,0.05484807,0.03339108,0.12104995,11,2
2025-01-30 09:30:23.512,693.34,100.0,0.0230150457533534,0.027781263,0.09591763,0.05468299,0.03279636,0.12047307,11,2
2025-01-30 09:30:23.694,693.22,15.0,0.0179604076565974,0.02760756,0.09436877,0.053964052,0.03242985,0.119679935,11,2
2025-01-30 09:30:23.694,693.24,10.0,0.0087951211809799,0.02808826,0.09234711,0.051962756,0.032216296,0.11916825,11,2
2025-01-30 09:30:23.694,693.34,1.0,0.0148299338019205,0.029468615,0.0915256,0.049199577,0.032837022,0.11852776,11,2
2025-01-30 09:30:23.694,693.15,41.0,0.0244910513220447,0.030509036,0.090142444,0.048492625,0.03320675,0.118005365,11,2
2025-01-30 09:30:23.694,693.2,9.0,0.021977385429174,0.02956657,0.09138365,0.04931554,0.032672096,0.119683035,11,2
